Codigo,Sigla,Nome,Regente
41773,fc,Física Computacional,Sofia da Conceição Veladas Latas
41774,PAC,Programação e Algoritmos em Ciências,Osvaldo Manuel da Rocha Pacheco
41779,SR,Software Robusto,Nuno Pedro de Jesus Silva
41780,CA,Criptografia Aplicada,André Ventura da Cruz Marnôto Zúquete
41781,AEV,Análise e Exploração de Vulnerabilidades,João Paulo Silva Barraca
41782,SRC,Segurança em Redes de Comunicações,Paulo Jorge Salvador Serra Ferreira
41783,IAA,Identificação Autenticação e Autorização,João Paulo Silva Barraca
41786,DOS,Direito e Organização da Segurança,Maria Cândida Guedes Machado Antunes de Oliveira
41787,AAS,Aprendizagem Aplicada à Segurança,Mário Luís Pinto Antunes
41789,AFSC,Análise Forense de Sistemas Computacionais,Marco Paulo Gomes Mira
41790,AES,Ambientes de Execução Seguros,Paulo Jorge de Campos Bartolomeu
41793,fq,Física Quântica,António Ferreira da Cunha
41794,ER,Engenharia Reversa,João Paulo Silva Barraca
41796,PC,Psicologia e Cibersegurança,José Ignacio Guinaldo Martin
41876,SI-I,Sistemas Inteligentes I,Luís Filipe de Seabra Lopes
41877,SI-II,Sistemas Inteligentes II,Luís Filipe de Seabra Lopes
41878,PSR,Programação de Sistemas Robóticos,Eurico Farinha Pedrosa
41879,PC,Perceção e Controlo,José Nuno Panelas Nunes Lau
41883,MMA,Materiais para Manufatura Aditiva,Susana Maria Henriques Olhero
41914,ICD,Introdução à Ciência de Dados,João José Lourenço Marques
41919,SIGCS,Sistemas de Informação Geográfica para Ciências Sociais,Luis Jorge dos Santos Gouveia Marques Gonçalves
41941,FM,Física Moderna,Vitor Brás de Sequeira Amaral
41945,SSE,Sinais e Sistemas Eletrónicos,Ernesto Fernando Ventura Martins
41947,LI,Laboratórios de Informática,António Manuel Adrego da Rocha
41948,AC-I,Arquitectura de Computadores I,António Rui de Oliveira e Silva Borges
41949,RC-II,Redes de Comunicações II,Paulo Jorge Salvador Serra Ferreira
41950,RC-I ,Redes de Comunicações I,Paulo Jorge Salvador Serra Ferreira
41951,AS,Análise de Sistemas,Ilídio Fernando de Castro Oliveira
41952,AC-II,Arquitectura de Computadores II,José Luis Costa Pinto de Azevedo
41953,PECI,Projeto em Engenharia de Computadores e Informática,José Manuel Matos Moreira
41954,MCE,Mecânica e Campo Eletromagnético,Isabel Maria Coelho de Oliveira Malaquias
41969,PMTM,Propriedades Mecânicas e Térmicas dos Materiais,Maria Georgina Macedo Miranda
41987,IEE,Introdução à Engenharia Eletrotécnica,José Luís Vieira Cura
41988,P,Programação,Daniel Nunes Corujo
41989,LE,Laboratório de Eletrónica,N/A
41990,AC,Análise de Circuitos,Ernesto Fernando Ventura Martins
41991,EA,Eletrotecnia Aplicada,Fernanda de Oliveira Resende
42062,PSFD,Projeto em Sistemas de Fabrico Digitais,Carlos Alberto Moura Relvas
42078,IC,Informação e Codificação,António José Ribeiro Neves
42079,AAD,Arquiteturas de Alto Desempenho,Tomás António Mendes Oliveira e Silva
42080,CM,Comunicações Móveis,Daniel Nunes Corujo
42081,SOTR,Sistemas Operativos e de Tempo-real,Paulo Bacelar Reis Pedreiras
42082,AC,Arquiteturas de Comunicação,Rui Luís Andrade Aguiar
42083,RCIS,Redes Com Integração de Serviços,António Manuel Duarte Nogueira
42084,CD,Comunicações Digitais,Paulo Miguel Nepomuceno Pereira Monteiro
42085,EMOA,Engenharia de Micro-ondas e Antenas,Pedro Renato Tavares de Pinho
42088,PI,Projeto Industrial,Pedro Nicolau Faria da Fonseca
42138,TDW,Tecnologias e Desenvolvimento Web,Carlos Manuel das Neves Santos
42139,DCW,Design de Comunicação Web,Luís Nuno Coelho Dias
42140,DAEU,Design e Avaliação de Experiência do Utilizador,Ana Rita Costa Bonifácio Selores dos Santos
42150,PRA,Produção e Realização Audiovisual,Hélder José Marques Caixinha
42192,EP,Elementos de Programação,Tomás António Mendes Oliveira e Silva
42194,EAI,Elementos de Automação Industrial,Marco Paulo Soares dos Santos
42195,VC,Visão Por Computador,Paulo Miguel de Jesus Dias
42196,FSO,Fundamentos de Sistemas Operativos,N/A
42201,TPJ,Tópicos de Programação para Jogos,Diogo Nuno Pereira Gomes
42205,DP,Desenho de Personagens,N/A
42252,ESS,Engenharia de Sistemas de Satélite,Manuel de Jesus Ferreira Dinis
42254,IEA,Introdução à Engenharia Aeroespacial,N/A
42255,OMA,Ondas e Mecânica Aplicada,Vitor Hugo da Rosa Bonifácio
42255,OMA,Ondas e Mecânica Aplicada,N/A
42256,TTC,Termodinâmica e Transferência de Calor,N/A
42258,DEA,Design de Estruturas Aeroespaciais,N/A
42259,SE,Sistemas Eletrónicos,N/A
42280,FCD,Fundamentos de Ciência de Dados,N/A
42282,CAA,Complementos de Aprendizagem Automática,N/A
42283,ENN,Empreendedorismo e Novos Negócios,N/A
42284,GP,Gestão de Projetos,N/A
42288,DT,Design Thinking,N/A
42290,TCA,Técnicas de Comunicação e Apresentações,N/A
42291,E-I,Economia I,N/A
42292,FE,Finanças Empresariais,N/A
42294,MICSA,Microcontrololadores e Interação Com Sensores e Atuadores,N/A
42295,MDS,Materiais e Desenvolvimento Sustentável,N/A
42296,VD,Visualização de Dados,N/A
42297,ER,Energias Renováveis,N/A
42298,FAI3,Fabrico Aditivo e Impressão 3d,N/A
42299,IHC,Interação Humano-computador,N/A
42300,IMEF,Introdução Ao Método dos Elementos Finitos,N/A
42301,MS,Mobilidade Sustentável,N/A
42302,PW,Programação Web,N/A
42354,IO,Investigação Operacional,N/A
42502,IAC,Introdução à Arquitetura de Computadores,N/A
42509,so,Sistemas de Operação,N/A
42532,bd,Bases de Dados,N/A
42535,II,Informática Industrial,N/A
42573,sio,Segurança Informática e Nas Organizações,N/A
42596,RI,Recuperação de Informação,N/A
42606,A-I,Alemão I,N/A
42607,A-II,Alemão II,N/A
42709,ALGA,ALGA,N/A
42728,C-I,Cálculo I ,N/A
42729,C-II,Cálculo II ,N/A
42791,C-III,Cálculo III ,N/A
43310,TPR,Técnicas de Percepção de Redes,N/A
43312,RVA,Realidade Virtual e Aumentada,N/A
43313,RM,Robótica Móvel,N/A
43370,LC-I,Língua Chinesa I,N/A
43447,SFP,Sistemas Flexíveis de Produção,N/A
